GTCBSA,ALL_fpll,SOCIAL_fpll,CARE_fpll,K1_deaths,K2_deaths,K3_deaths,K1_cases,K2_cases,K3_cases,LOG_POP,%_REPUBLICAN,%_DEMOCRAT,%_OTHER_VOTES,%_GREEN,%_LIBERTARIAN,Perc.Native,workplace_close_H,stay_at_home_H,school_closing_H,cancel_events_H,close_transit_H,movement_restriction_H
48980,0,0,0,0.10168412,0.01749404,0,0.220154272,0.028776873,0.009247288,4.910811101,0.480692279,0.509488155,0.002430342,0.001374739,0.006014484,77.1,1,1,1,1,1,0.942857143
49020,0.172941547,0.12319057,0.05051292,0.099021026,0.035640526,0.044157541,0.363565547,0,0.02377159,5.138684709,0.617792631,0.363185132,0.003398339,0.000296121,0.015327778,52.5,0.98893904,0.860355377,0.520933905,0.613503219,0,1
49080,0,0,0,0.123776282,0,0.013051707,0.328517698,0.010241006,0.027207372,4.226032503,0.756273324,0.217346545,0.01299704,0,0.013383091,0,0.66122449,1,0.159183673,1,0,1
49100,0,0,0,0.144833277,0,0,0.193726493,0.052384558,0.025142522,4.705222056,0.486769955,0.490670887,0.009605123,0.002944099,0.010009936,0,1,1,0.044897959,1,0.171428571,1
49180,0.359289705,0.324429559,0.125244608,0.254674958,0.022307148,0.011591931,0.212117044,0.029532692,0.015628367,5.823615059,0.565606469,0.419803226,0.004030838,0.002209476,0.00834999,68.2,1,1,1,1,1,0.942857143
49220,0,0,0,0,0.099021026,0.009655404,0.154061552,0.070255764,0.031722705,4.863988664,0.588599932,0.396266163,0.005157635,0.000217928,0.009758342,83.7,0.375510204,0.946938776,0.048979592,0.048979592,0,0.946938776
49260,0,0,0,0,0,0.201642816,0.208316411,0.079177782,0.260203049,4.393434803,0.849197174,0.129094412,0.005651895,0,0.016056519,0,0.930612245,0.285714286,0.028571429,0,0,0.359183673
49300,0,0,0,0.287530875,0.00355122,0.018269694,0.31961366,0.013760275,0.027901555,5.064828479,0.677173332,0.306910082,0.003665973,0,0.012250613,84,1,1,0.440816327,1,0,1
49340,0.188133912,0.152060836,0.070217022,0.194017952,0.007143029,0.007675949,0.495486243,0,0.020400082,5.973745591,0.408176373,0.559913253,0.009782461,0.00577842,0.016349494,72.8,0.753241953,0.932777933,0.1717812,0.991913135,0.163168362,0.8998663
49380,0,0,0,0.152567235,0.045555277,0.017628597,0.386423195,0,0.009531533,4.337139663,0.642570281,0.336546185,0.011933448,0.002180149,0.006769937,0,1,1,0.044897959,1,0.171428571,1
49420,0,0,0,0.230497816,0.025885266,0.003442037,0.293072307,0.026053477,0.008298885,5.397413325,0.525557993,0.448878817,0.007412182,0.003337041,0.014813968,74.2,0.314285714,0.126530612,0.204081633,0.2,0,0.795918367
49460,0,0,0,0,0.099021026,0,0.280809095,0.020915545,0,4.356350978,0.603761468,0.368440367,0,0,0.027798165,0,0.971428571,0.971428571,0.608163265,0,0,1
49620,0.246114834,0.178572323,0.05565857,0.138018223,0.031376582,0,0.342167332,0.024874209,0.031676474,5.648911069,0.615307522,0.369495662,0,0,0.015196816,66.9,0.857142857,0.885714286,0.175510204,0.163265306,0,0.885714286
49660,0.360707021,0.32763749,0.093767054,0.359541209,0.005143874,0.020782226,0.313440264,0,0.032822041,5.733875872,0.544183419,0.443388589,0.002990058,0,0.009437934,79.3,0.970598394,0.976478715,0.386213343,0.827790591,0,0.976478715
49700,0,0,0,0.103972077,0.007361104,0.040049755,0.204002172,0.057149802,0.025622553,5.236711045,0.580494202,0.394768084,0.006916068,0.003589177,0.014232468,80.6,0.028571429,0.832653061,0.4,0.485714286,0,0.991836735
49740,0.345676771,0.28661054,0.077988511,0.089534805,0.045059646,0.014276102,0.237278205,0.033469981,0,5.321117686,0.522803051,0.460926432,0,0,0.016270517,49.4,0.514285714,1,0.440816327,0.616326531,0.302040816,1
49780,0,0,0,0,0,0.099021026,0.117309122,0.015623403,0.041350939,4.93515949,0.68866922,0.295835908,0.004151736,0,0.011343136,88.5,1,1,0.440816327,1,0,1
49820,0,0,0,0,0.044370201,0.048894696,0.164791843,0.081612977,0.022724313,4.155457501,0.524780589,0.471347445,0,0.001032525,0.002839442,0,0.67755102,0.216326531,0.236734694,0.036734694,0,0.081632653
